Mental Status,Study Hours per Week,Attendance Rate,Gender,Previous Physics average,Previous Chemistry average,Previous Mathematics  average,Extracurricular Activities,Family Support,failures,famrel,freetime,goout,Dalc,Walc,absences,guardian,schoolsup,paidClass,Parent Education Level
Severe,,,Female,38.22,45.79,85.6,Yes,Strong Support,0,5.6,3,2,1,4,8,mother,yes,no,None
Moderate,13.8,107.6,Female,36.09,38.8,73.7,No,Moderate Support,1,5.28,2,6,2,1,15,father,yes,no,Degree
Severe,9.7,66.6,Male,88.89,83.14,62.6,No,None,0,6.5,4,3,1,3,8,mother,yes,no,None
Mild,7.2,60.6,Female,69.47,57.91,94.2,No,None,-1,4.36,1,4,0,1,8,mother,yes,no,None
Severe,10.8,49.6,Female,55.24,42.7,39.1,Yes,None,0,3.08,5,4,1,3,13,mother,yes,no,Degree
Moderate,14.7,47.6,Male,54.36,66.12,67.2,Yes,None,0,3.64,3,1,1,2,7,other,yes,no,Degree
Mild,12.5,47,Male,61.57,52.53,59.7,Yes,None,0,4.66,3,5,1,1,6,father,yes,no,Master
Moderate,5.6,81.3,Female,63.36,74.19,69.8,No,Minimal Support,0,4.32,3,5,2,4,10,mother,yes,no,Diploma level
Normal,13.7,87.1,Female,76.69,59.08,47.7,No,Minimal Support,1,4.91,2,2,1,2,5,father,yes,no,Degree
Mild,6.8,57.7,Female,69.72,67.42,77.1,Yes,None,0,1.92,4,4,2,4,6,mother,yes,no,None
Severe,11.1,52.2,Female,66.27,64.68,40.6,No,None,0,2.6,3,4,2,0,8,mother,yes,yes,Master
Moderate,,70.8,Male,40.83,42.52,74.7,No,Strong Support,0,3.65,3,2,2,3,11,mother,yes,no,Degree
Moderate,8.9,76.9,Female,77.02,58.13,57.4,No,Minimal Support,0,3.66,3,2,2,4,2,other,yes,no,NVQ qualified
Normal,13.8,80.3,Male,43.48,58.68,71.9,Yes,Minimal Support,0,4.14,4,4,3,2,23,mother,yes,yes,NVQ qualified
Severe,4.8,55.7,Female,69.6,81.68,54.4,Yes,None,1,5.1,3,4,1,3,1,mother,yes,no,Master
Severe,19.7,71.7,Female,65.98,57.12,52.2,No,Minimal Support,1,2.38,4,3,3,2,2,father,yes,yes,Master
Moderate,0.9,106.3,Male,68.75,57.03,88.8,Yes,Minimal Support,-1,3.55,3,4,3,3,10,father,yes,no,Degree
Moderate,7,51.1,Female,58.51,53.05,90.5,No,None,-1,3.15,3,1,2,5,8,mother,yes,no,None
Normal,11.9,74.4,Male,36.92,48.91,47.8,Yes,Minimal Support,0,5.81,5,6,2,4,6,father,yes,no,NVQ qualified
Severe,12.9,,Male,52.45,46.32,,Yes,Strong Support,1,4.45,1,4,0,2,6,father,yes,yes,Diploma level
Severe,9.5,55.6,Female,52.39,53.87,76.6,Yes,None,0,4.61,2,3,1,3,4,mother,yes,no,High school
Moderate,9.7,87.2,Female,42.62,39.18,64,Yes,Minimal Support,0,3.82,6,4,3,2,2,mother,yes,yes,NVQ qualified
Mild,12.1,48.2,Female,74.78,68.27,64.5,Yes,None,0,3.72,3,4,2,2,5,mother,yes,yes,NVQ qualified
Moderate,8.8,,Male,52.27,63.17,75.8,Yes,Strong Support,0,3.19,5,1,1,3,1,father,yes,no,Degree
Severe,17,75.9,Male,54.81,70.87,,No,Minimal Support,0,3.64,2,2,1,3,4,father,yes,no,Degree
Normal,14.2,46.6,Female,73.85,91.29,58.3,Yes,None,1,2.87,3,3,2,0,7,mother,yes,no,None
Normal,14.4,88.8,Male,51.68,61.75,72.9,No,Minimal Support,0,3.54,3,2,2,2,3,mother,yes,no,Diploma level
Normal,5.2,57.1,Female,38.73,34.16,61,No,None,1,3.96,3,4,2,4,10,mother,yes,yes,Diploma level
Severe,9.6,71.9,Male,52.53,57.56,59.7,No,None,1,3.82,4,1,1,4,11,mother,yes,no,None
Normal,8.5,87.6,Female,53.21,59.69,54,Yes,Minimal Support,1,4.13,3,1,2,2,11,mother,yes,no,High school
Severe,5,55.7,Male,75.11,64.01,54,Yes,None,1,3.31,3,4,2,2,6,mother,yes,yes,Degree
Severe,11.8,64.4,Female,58.48,49.88,68.9,No,None,2,3.35,3,3,2,-1,4,mother,yes,no,Diploma level
Mild,7.3,97.5,Male,58.84,62.45,42,Yes,Minimal Support,0,3.87,1,3,1,2,14,mother,yes,no,High school
Normal,13.3,33.6,Female,53.4,79.53,41.6,Yes,None,0,4.49,4,3,2,1,2,father,yes,no,Master
Mild,4.6,103.4,Male,77.57,76.9,62.5,Yes,Minimal Support,-1,3.58,2,3,0,3,3,mother,no,no,High school
Mild,18.6,45.7,Male,38.05,32.72,65.1,No,None,1,4.13,4,3,1,2,16,mother,yes,no,Master
Severe,5.5,61,Male,53.31,55.97,49.3,Yes,None,0,3.95,5,3,1,3,12,mother,yes,no,None
Mild,11.1,80.6,Female,65.8,59.16,91.3,nan,Minimal Support,0,3.77,4,3,2,3,2,mother,yes,no,Master
Moderate,14,87.1,Male,46.47,61.01,53.8,No,Minimal Support,0,3.61,3,4,1,3,7,mother,yes,no,High school
Mild,7.1,81,Female,88.07,75.72,,Yes,Minimal Support,0,4.38,3,5,2,2,5,mother,yes,no,None
Severe,14.3,75.9,Female,58.32,62.91,53.9,No,Minimal Support,0,4.29,2,2,2,4,15,mother,yes,no,Diploma level
Normal,3.9,66.3,Female,46.24,60.72,79.2,Yes,None,0,3.17,2,2,4,1,1,mother,yes,no,Diploma level
Moderate,,106.2,Male,74.65,69.67,90.4,No,Strong Support,1,2.16,4,4,4,1,13,mother,yes,no,Degree
Normal,10.1,90.5,Female,40.5,44.7,50.5,No,Minimal Support,1,4.65,3,5,1,3,13,mother,yes,no,High school
Mild,7,98.5,Female,58.9,62.42,77.6,No,Minimal Support,0,4.85,4,3,1,4,8,other,yes,no,Diploma level
Severe,8.5,66.6,Male,41.75,36.1,69,Yes,None,0,5.33,4,2,2,0,5,mother,yes,no,Diploma level
Severe,14,28.4,Male,30.47,79.42,53.6,No,None,1,2.9,4,0,1,4,1,father,yes,no,Master
Moderate,,95.4,Female,55.74,37.84,69,Yes,Strong Support,1,2.44,3,1,1,2,8,mother,yes,no,High school
Severe,6.3,82.1,Female,47.22,32.59,45.2,Yes,Minimal Support,0,3.62,2,4,1,4,14,father,yes,yes,Degree
Normal,,78.7,Female,50.11,66.19,61.2,Yes,Strong Support,1,4.42,3,3,2,4,4,father,yes,no,Degree
Moderate,4.1,63.7,Female,58.94,52.45,50,No,None,0,4.03,3,3,1,3,17,father,yes,no,Diploma level
Mild,19.1,68,Male,72.22,86.43,60,No,Minimal Support,0,3.59,3,4,2,3,4,mother,yes,no,High school
Moderate,7.2,63,Female,65.09,77.45,66,No,None,1,4.6,4,1,3,2,1,mother,yes,no,NVQ qualified
Severe,14.2,75.9,Male,57.38,49.17,87.4,Yes,Minimal Support,1,4.91,5,2,2,6,8,mother,yes,no,High school
Severe,11,52.3,Male,40.43,30.02,65.8,Yes,None,0,2.67,3,0,1,3,2,other,yes,no,Diploma level
Severe,5.1,90.3,Male,56.08,69.64,50.1,No,Minimal Support,1,4.64,3,5,1,3,11,mother,yes,yes,NVQ qualified
Normal,10,115.7,Female,86.5,61.07,65.2,No,Moderate Support,1,2.76,5,2,1,4,15,father,yes,no,NVQ qualified
Moderate,13.9,63,Male,37.37,49.32,33.9,Yes,None,0,4.18,1,3,2,1,7,mother,yes,no,High school
Normal,9.1,43.1,Male,55.97,55.61,77.8,Yes,None,0,3.67,1,4,2,2,5,mother,yes,no,Degree
Severe,16,73,Female,58.34,65.58,52.8,No,Minimal Support,0,4.37,3,4,2,0,4,mother,yes,no,Degree
Mild,15.1,81.3,Male,74.71,77.45,93.5,Yes,Minimal Support,1,4.98,3,4,1,2,0,mother,yes,no,High school
Severe,14.6,84.1,Male,62.04,65.29,78.7,Yes,Minimal Support,1,3.13,3,2,2,4,4,father,yes,no,Diploma level
Severe,7.7,,Male,56.85,54.19,66.6,Yes,Strong Support,1,4.54,3,5,1,3,10,mother,yes,no,Master
Moderate,4.6,91.3,Female,69.43,61.05,60.5,No,Minimal Support,0,4.03,4,4,1,3,12,mother,yes,no,High school
Severe,6.9,38.8,Female,57.98,66.7,58.6,Yes,None,0,2.38,3,5,3,2,10,mother,yes,no,Master
Moderate,11,50.3,Male,40.53,68.28,59.5,No,None,1,3,3,3,2,4,11,mother,yes,yes,High school
Severe,12.7,83.1,Male,64.79,50.87,64.9,No,Minimal Support,1,4.81,3,2,3,4,9,father,yes,no,Master
Normal,-0.9,65.9,Male,30.01,49.83,58.9,Yes,None,0,4.39,2,3,1,3,8,father,yes,no,High school
Normal,10,105.3,Male,64.85,63.95,73.3,No,Minimal Support,0,3.67,4,4,3,1,5,mother,yes,no,NVQ qualified
Mild,10.8,56.3,Male,65.15,66.14,87,nan,None,0,4.97,2,3,1,4,6,mother,yes,no,Degree
Normal,8.6,94.2,Female,79.62,76,66.5,No,Minimal Support,-1,3.96,3,2,1,4,0,mother,yes,no,NVQ qualified
Mild,16.5,62,Male,32.29,48.49,81.6,No,None,0,4.18,2,1,3,2,6,mother,yes,no,Degree
Mild,12.1,80.2,Female,41.75,49.86,45.1,No,Minimal Support,1,5.32,2,3,1,2,8,father,yes,no,Master
Severe,16.6,58.4,Male,67.31,59.03,70.3,No,None,0,3.36,3,4,-1,2,8,father,yes,no,Diploma level
Moderate,8.9,86.2,Female,39.52,51.85,66.3,nan,Minimal Support,0,3.24,5,4,2,1,5,mother,yes,no,None
Moderate,14.7,96.5,Male,86.99,65.81,44.1,No,Minimal Support,1,3.83,3,4,2,2,1,mother,no,no,NVQ qualified
Moderate,18.2,80.1,Female,82.81,89.66,61.2,Yes,Minimal Support,1,5.66,3,1,2,1,2,other,yes,no,Master
Moderate,16.6,113.2,Female,47.26,45.99,77.8,Yes,Moderate Support,1,3.31,1,3,2,3,7,mother,yes,no,Master
Moderate,4.5,60.6,Female,69.6,72.47,24.6,Yes,None,0,2.3,2,3,2,5,15,mother,yes,no,Master
Mild,8.7,77,Female,61.35,82.61,62,Yes,Minimal Support,1,2.5,4,2,0,3,1,other,yes,no,None
Moderate,8.3,91.9,Male,62.26,66.12,58.2,No,Minimal Support,0,3.16,2,4,2,2,3,father,yes,no,High school
Severe,12.4,56,Female,54.9,59.26,69,No,None,0,5.27,3,1,2,4,11,father,yes,no,Degree
Mild,13.4,,Male,92.34,100.4,78.6,Yes,Strong Support,0,3.24,3,5,2,2,15,father,no,no,NVQ qualified
Moderate,5.8,88.3,Male,58.44,69.63,75.5,No,Minimal Support,1,2.66,2,3,2,3,6,mother,yes,no,High school
Mild,10.3,93.6,Female,56.02,56.61,79.6,Yes,Minimal Support,1,3.7,2,4,1,4,3,father,yes,no,NVQ qualified
Normal,-0.1,97.8,Female,34.72,51.7,82.7,Yes,Minimal Support,1,4.36,3,3,2,2,17,father,yes,no,Degree
Severe,17.2,57.6,Male,53.51,56.72,59.5,No,None,1,5.23,3,4,1,2,17,mother,yes,no,None
Severe,,80.8,Male,69.19,76.88,28.6,Yes,Strong Support,1,4.86,2,2,0,3,4,mother,yes,no,Master
Normal,10.3,48.7,Female,50.78,44.77,75.1,Yes,None,0,4.24,3,2,1,2,3,father,yes,yes,Degree
Severe,8.5,60.5,Female,67.59,49.77,49.9,No,None,1,2.99,3,3,2,3,4,mother,yes,yes,NVQ qualified
Normal,15.7,71.5,Male,59.5,47.69,69.2,Yes,Minimal Support,0,5.33,5,4,2,1,5,other,yes,no,Master
Normal,-4.2,97.9,Male,53.36,63.76,43.7,Yes,Minimal Support,0,4.47,3,1,2,1,4,father,yes,yes,NVQ qualified
Severe,9.9,85.6,Female,70.4,72.36,53.9,Yes,Minimal Support,1,3.69,3,6,1,1,8,mother,yes,no,High school
Mild,9.5,75.8,Female,62.4,61.73,73.7,No,Minimal Support,1,4.73,3,4,2,2,2,mother,yes,no,High school
Mild,,84,Male,65.61,76.96,58.3,Yes,Strong Support,-1,2.43,2,2,2,2,7,father,yes,yes,Degree
Mild,18.6,85.4,Female,64.76,65.79,40,Yes,Minimal Support,1,4.32,2,3,2,2,8,mother,yes,no,Master
Normal,5.6,82.4,Female,56.31,30.37,44.7,No,Minimal Support,0,4.78,3,2,0,2,11,mother,yes,no,Degree
Severe,13.9,63.5,Female,40.47,55.92,81.9,nan,None,2,3.8,2,3,2,2,2,mother,yes,no,High school
Normal,11.8,55.9,Female,46.68,34.05,59.7,Yes,None,-1,3.68,2,3,3,3,5,mother,yes,no,None
Severe,16.3,70.5,Male,50.96,53.99,60,Yes,Minimal Support,0,4.66,3,4,3,3,4,mother,no,no,High school
Normal,6.7,59.1,Male,56.04,56.34,55.8,Yes,None,0,4.81,4,2,2,0,2,mother,yes,no,Master
Moderate,6.3,87.4,Male,45.6,58.9,,Yes,Minimal Support,0,3.69,4,1,1,5,13,mother,yes,no,NVQ qualified
Severe,15.5,105.6,Male,52.16,59.62,61,No,Moderate Support,-1,3.58,2,3,1,4,10,mother,yes,yes,Master
Moderate,12.1,86.3,Male,47.01,41.78,83.6,Yes,Minimal Support,0,1.69,3,4,0,0,3,other,no,no,Master
Mild,2.3,38.8,Female,47.67,48.02,53.3,No,None,1,2.12,4,4,2,0,2,father,yes,no,NVQ qualified
Moderate,7.3,62.3,Female,37.32,47.03,36.7,Yes,None,-1,6.41,3,2,1,2,6,other,yes,yes,NVQ qualified
Normal,11.9,75.4,Male,57.2,69.98,76.6,Yes,Minimal Support,0,2.79,2,4,2,3,8,mother,yes,no,Degree
Severe,14.2,46.3,Male,48.63,59.95,66.3,No,None,0,4.15,3,3,2,3,7,mother,yes,no,Master
Mild,6.6,75.6,Male,76.24,78.31,67.8,No,None,-1,2.29,3,2,3,1,6,mother,yes,no,Degree
Mild,-4.6,84.4,Male,40.09,58.9,70.7,No,None,0,3.19,3,4,1,0,1,mother,yes,no,Diploma level
Moderate,12.6,103.2,Female,40.93,42.13,38.8,nan,Minimal Support,1,4.51,3,4,1,1,3,other,yes,no,Degree
Moderate,3.9,111.4,Female,56.12,51.59,63.3,No,Minimal Support,1,4.98,4,4,1,4,5,other,yes,yes,Diploma level
Normal,-0.1,51.2,Male,61.77,69.52,68.6,Yes,None,0,4.63,4,5,1,1,6,mother,yes,no,Diploma level
Normal,-4.2,72.7,Male,45.29,77.31,64.4,No,None,0,4.36,2,2,1,0,4,mother,yes,yes,Master
Normal,14.1,72.9,Female,72.94,61.34,64.2,Yes,Minimal Support,0,3.66,2,1,1,2,1,mother,yes,no,Diploma level
Moderate,10.6,60.7,Male,63.05,56.9,82.4,No,None,1,5.07,6,4,3,3,13,mother,yes,yes,NVQ qualified
Normal,8.9,77,Female,43.41,39.22,71.6,nan,Minimal Support,0,5.24,3,3,1,0,7,mother,no,yes,Master
Moderate,16.9,73.4,Female,71.36,62.6,74.4,nan,Minimal Support,-1,5.1,5,5,0,4,2,father,yes,no,NVQ qualified
Moderate,13.2,87.3,Male,42.61,50.44,62.6,No,Minimal Support,0,1.8,3,4,3,4,11,other,yes,no,NVQ qualified
Moderate,18.1,102.1,Male,74.58,80.44,26.6,Yes,Moderate Support,0,4.73,3,5,2,3,5,mother,yes,no,High school
Severe,3,77.6,Female,32.84,32.52,,Yes,None,0,2.19,4,2,0,3,9,mother,yes,no,Degree
Severe,9.8,65.2,Female,76.14,73.12,64.6,Yes,None,0,4.13,2,4,2,5,5,mother,yes,yes,Master
Normal,,54.5,Male,60.44,74.3,62.1,No,Strong Support,-1,4.42,3,3,2,2,2,father,yes,no,None
Severe,8.9,115.8,Female,58.71,65.95,63.9,nan,Moderate Support,2,3.67,3,4,3,4,1,mother,yes,no,Master
Mild,8.8,93.1,Female,55.82,67.21,68.2,Yes,Minimal Support,0,2.69,3,3,0,2,2,mother,yes,no,None
Normal,13.1,83,Male,74.4,61.33,79.2,No,Minimal Support,0,3.4,3,0,1,5,4,mother,yes,no,High school
Normal,,71.7,Male,66.69,69.91,52.1,No,Strong Support,1,2.86,3,2,1,5,12,father,yes,no,None
Normal,13.1,107.2,Female,59.59,61.51,61.9,Yes,Moderate Support,0,4.36,1,3,1,2,0,father,yes,no,NVQ qualified
Normal,13.5,71.8,Female,52.71,42.36,88.1,No,Minimal Support,0,2.88,4,5,1,5,2,father,yes,no,Master
Normal,20.8,,Male,40.05,55.19,40.7,Yes,Strong Support,0,4.54,4,2,1,2,3,mother,yes,no,Diploma level
Moderate,8.4,80.3,Female,66.6,61.79,60.8,No,Minimal Support,0,3.9,4,2,3,0,4,mother,yes,no,Degree
Moderate,5.3,50.4,Female,39.97,54.61,32.3,Yes,None,-1,4.25,4,4,2,2,5,mother,yes,no,None
Moderate,11.2,80.4,Female,89.84,100.71,61.1,No,Minimal Support,1,3.46,3,4,2,3,5,mother,yes,no,Degree
Normal,6,101.9,Female,60.33,68.3,66.5,Yes,Minimal Support,0,4.06,4,4,1,3,1,mother,yes,no,NVQ qualified
Mild,17.4,41.5,Female,30.24,32.93,37.7,No,None,1,4.71,1,4,3,6,3,mother,no,no,NVQ qualified
Normal,8.6,57,Female,54.44,61.08,68.1,Yes,None,0,2.45,3,2,1,3,3,father,yes,yes,None
Normal,7.2,92.3,Male,60.77,67.16,54.8,Yes,Minimal Support,0,4.18,3,3,1,1,2,mother,yes,no,Degree
Moderate,7.6,65,Female,75.72,71.58,81.2,No,None,1,3.33,2,3,2,2,0,mother,no,no,Diploma level
Normal,13.6,83.3,Female,64.64,72.75,72.1,No,Minimal Support,1,4.79,5,5,4,2,12,mother,yes,no,Master
Severe,9.2,83.3,Male,72.56,68.06,56.9,nan,Minimal Support,-1,3.3,2,4,2,4,4,mother,yes,no,High school
Mild,6.8,92.8,Female,63.86,46.62,61.9,Yes,Minimal Support,0,3.53,3,2,2,3,3,mother,yes,yes,Diploma level
Mild,18.3,62.1,Male,40.26,46.94,88.3,No,Minimal Support,1,3.1,3,4,0,2,8,father,yes,no,Diploma level
Severe,5.7,24,Female,69.31,52.34,63.3,No,None,1,4.57,4,2,2,2,8,mother,yes,no,High school
Mild,10.2,82.9,Male,31.26,48.95,44.8,Yes,Minimal Support,1,2.35,3,3,2,2,1,father,yes,yes,NVQ qualified
Moderate,13.3,43.6,Male,58.36,70.17,47.9,Yes,None,0,1.46,3,3,0,4,6,mother,yes,no,Degree
Mild,1.8,93.7,Male,63.42,70.9,62.2,No,Minimal Support,0,4.15,4,3,1,3,9,mother,yes,no,None
Severe,12.4,74.2,Male,73.04,61.48,81.9,Yes,Minimal Support,0,5.41,2,1,2,2,8,mother,yes,no,High school
Severe,4.7,69.1,Female,65.27,75.03,57.6,nan,None,1,2.9,4,3,2,3,9,father,yes,yes,Master
Normal,14.1,88.8,Male,65.47,54.55,48.6,No,Minimal Support,0,4.36,3,1,5,3,15,mother,yes,no,High school
Mild,5.2,40.2,Male,57.24,80.53,65.1,No,None,1,4.22,3,3,1,2,6,mother,yes,no,Master
Mild,,,Male,68.68,62.83,69.9,Yes,Strong Support,0,2.24,0,1,3,1,14,mother,no,no,High school
Severe,15.5,84,Male,64.36,65.94,72.7,Yes,Minimal Support,0,3.41,5,4,0,3,16,mother,yes,no,High school
Mild,14.3,80.1,Female,42.44,62.33,39.5,No,Minimal Support,0,4.82,4,3,0,3,13,mother,yes,yes,Diploma level
Severe,11.3,65.2,Male,64.99,66.22,69.7,Yes,None,-2,4.5,3,4,3,3,13,other,yes,yes,High school
Severe,8.8,65.4,Male,51.24,51.79,68.9,Yes,None,0,2.59,5,2,1,3,1,mother,no,no,None
Moderate,7.1,105.9,Female,67.57,51.06,58.4,Yes,Minimal Support,1,5.06,3,4,2,2,5,mother,yes,no,Degree
Mild,17.4,93.3,Male,89.07,70.62,82,No,Minimal Support,1,4.75,4,3,2,4,13,mother,yes,yes,High school
Severe,6.5,61.7,Male,69.39,78.67,71.8,No,None,1,3.63,4,3,2,1,7,father,yes,no,None
Moderate,4.8,102,Female,76.96,92.84,52.1,No,Minimal Support,-1,4.48,2,4,1,3,16,mother,yes,yes,High school
Mild,13.3,90.1,Male,46.79,51.01,72,Yes,Minimal Support,0,4.69,4,3,1,1,11,mother,yes,no,High school
Mild,6,84.8,Female,53.67,45.11,36.7,No,Minimal Support,0,3.34,3,3,2,3,7,mother,yes,yes,NVQ qualified
Normal,5.2,,Female,54.78,42.86,57.8,Yes,Strong Support,1,3.25,4,4,2,1,11,mother,yes,yes,Diploma level
Normal,2.8,52.1,Female,44.73,50.16,58.9,Yes,None,2,3.83,3,1,2,3,17,mother,yes,yes,Degree
Moderate,7.6,105.1,Male,51.73,43,74.9,Yes,Minimal Support,0,3.18,2,3,0,3,14,mother,no,no,Master
Normal,9.6,94,Female,80.43,78.85,110.6,No,Minimal Support,0,5.65,3,4,2,4,8,mother,yes,no,Master
Moderate,11.2,79.9,Male,52.44,69.66,60.6,No,Minimal Support,1,1.84,1,2,1,3,10,mother,yes,yes,None
Normal,14.8,79.9,Female,36.07,48.68,87,No,Minimal Support,0,3.24,2,3,0,2,10,mother,yes,yes,Master
Mild,12.6,73.2,Male,57.43,56.69,85.4,No,Minimal Support,0,3.57,4,4,2,2,3,mother,yes,yes,High school
Mild,9,63.6,Male,50.7,30.27,,No,None,1,3.23,4,6,1,1,2,mother,yes,yes,High school
Mild,9,85.7,Female,85.64,71.35,85.1,No,Minimal Support,0,3.64,2,3,1,2,4,mother,yes,no,NVQ qualified
Mild,12.6,59.1,Male,77.98,73.2,54.4,Yes,None,1,5.64,3,3,2,2,4,mother,yes,no,None
Moderate,16.4,78,Male,60.8,41.86,65.1,Yes,Minimal Support,2,3.65,2,3,1,4,7,mother,yes,no,Master
Mild,10.6,76.9,Male,67.62,71.44,99.4,Yes,Minimal Support,0,4.79,3,2,1,2,2,mother,yes,no,Master
Moderate,7.7,82.7,Male,58.9,64.35,72.8,Yes,Minimal Support,2,4.43,3,5,1,4,2,father,no,no,None
Normal,5,93.8,Male,71.39,61.21,55.4,Yes,Minimal Support,0,3.55,4,2,1,1,1,mother,yes,no,Diploma level
Mild,2.8,83.1,Male,71.97,85.69,71.7,Yes,None,0,2.55,3,3,0,3,1,father,yes,no,NVQ qualified
Severe,13.3,88.9,Male,53.54,55.93,42.1,Yes,Minimal Support,0,3.59,4,3,2,6,3,mother,no,yes,NVQ qualified
Mild,12.9,36.2,Female,54.72,62.23,80.9,No,None,0,4.63,2,1,0,0,4,mother,yes,yes,Master
Severe,12.9,84.2,Male,60.08,52.15,55.3,Yes,Minimal Support,1,3.11,3,2,1,0,5,mother,yes,no,None
Normal,9.4,76.5,Male,71.92,74.22,28.1,Yes,Minimal Support,1,2.54,2,3,3,1,0,mother,yes,no,High school
Mild,17,82.4,Male,52.6,78.68,59.6,No,Minimal Support,1,3.36,4,3,2,3,4,mother,yes,no,Degree
Moderate,7.6,64.4,Male,49.53,30.83,57.3,Yes,None,0,4.63,4,3,-1,3,5,mother,yes,yes,Master
Severe,14.8,98,Female,74.18,73.13,72.5,Yes,Minimal Support,1,3.58,2,1,2,2,4,father,yes,no,Diploma level
Moderate,9.8,80,Male,40.86,58.3,,No,Minimal Support,-1,3.09,4,6,1,2,4,mother,yes,no,High school
Severe,7,60.1,Male,67.45,65.58,,Yes,None,0,3.88,3,3,2,3,3,mother,yes,no,NVQ qualified
Moderate,13,63.6,Male,44.44,53.48,54.8,No,None,-1,4.63,3,3,1,0,11,mother,yes,no,None
Severe,12,93.1,Female,84.72,64.53,63.9,nan,Minimal Support,0,2.91,4,4,1,1,10,mother,yes,yes,None
Moderate,11.8,73.3,Male,72.98,62.55,81,No,Minimal Support,0,3.04,4,3,3,2,0,mother,no,no,None
Normal,10.4,74.9,Male,53.5,80.75,81.5,Yes,Minimal Support,-2,3.05,3,1,2,2,2,mother,yes,no,Master
Severe,9.8,71,Male,50.8,76.84,84.1,No,None,1,4.4,4,4,2,1,5,father,no,no,Diploma level
Severe,21.9,95.2,Female,42.97,54.08,,Yes,Moderate Support,0,4.47,4,1,1,2,8,mother,yes,no,None
Normal,15.9,84.6,Male,67.8,55.43,69.5,No,Minimal Support,0,4.59,3,2,1,0,15,mother,yes,no,Master
Moderate,13.6,51.3,Male,56.15,57.03,70.1,nan,None,0,4.66,3,2,1,4,8,father,yes,no,Diploma level
Normal,10.6,55.5,Female,48.2,43.85,83.8,No,None,-1,3.41,3,3,1,4,6,mother,yes,no,High school
Normal,15,75.1,Male,39.52,51.93,60.1,Yes,Minimal Support,1,4.26,3,3,1,2,8,father,yes,yes,Master
Normal,12.6,62.1,Male,67.48,63.04,42.7,Yes,None,0,5.38,2,3,1,2,6,mother,no,no,NVQ qualified
Moderate,10.1,,Male,67.9,72.19,77.7,No,Strong Support,0,5.54,4,3,2,1,14,mother,yes,yes,NVQ qualified
Mild,8.5,60.1,Male,74.82,78.01,85.1,No,None,0,4.1,2,3,2,1,0,father,yes,no,High school
Normal,9.6,69.4,Female,58.03,52.78,69.8,No,None,0,3.71,1,3,0,4,3,mother,yes,yes,High school
Moderate,-5.9,67,Female,39.33,38.78,48.6,No,None,1,5.71,4,2,1,2,6,mother,yes,no,High school
Mild,11.1,89.4,Male,53.98,37.05,97.5,No,Minimal Support,1,2.48,2,3,1,2,7,mother,yes,no,None
Severe,7.6,30.3,Female,47.43,30.37,66.8,No,None,1,3.85,4,2,3,0,4,mother,yes,no,High school
Severe,,59.6,Female,69.85,62.98,55.1,Yes,Strong Support,0,4.92,3,4,2,4,11,mother,no,no,Degree
Severe,10.1,90.9,Male,56.83,67.6,81.5,Yes,Minimal Support,0,4.79,3,2,2,2,3,mother,yes,no,NVQ qualified
Mild,4.1,61.6,Female,55.52,55.54,90,Yes,None,-1,2.66,4,2,2,3,4,mother,yes,no,Master
Normal,9.8,50.8,Female,62.83,67.04,40.9,No,None,1,4.15,5,3,1,3,1,mother,no,yes,Diploma level
Mild,4.8,61.4,Male,48.87,42.63,73.1,Yes,None,1,3.76,4,5,2,2,5,mother,yes,no,NVQ qualified
Mild,12.4,83.9,Female,82.83,56.85,84.5,No,Minimal Support,-1,5.54,4,2,2,3,3,mother,yes,no,Diploma level
Severe,11.5,69.9,Male,53.77,88.82,63.4,Yes,None,0,4.11,4,5,0,1,21,mother,yes,no,Master
Moderate,14.8,60.5,Male,50.99,58.95,67.2,Yes,None,0,2.12,3,2,3,2,15,father,yes,yes,Master
Moderate,6,84.6,Female,60.37,64.62,63.1,No,Minimal Support,0,3.63,2,4,2,2,14,mother,yes,no,None
Normal,10.2,82.5,Male,57.19,52.99,88,Yes,Minimal Support,-1,5.5,4,3,1,3,4,father,yes,no,High school
Severe,3.2,49.7,Male,50,53.67,48.4,Yes,None,0,4.11,2,3,2,2,2,mother,yes,no,Master
Mild,13.5,76.9,Female,42.49,68.9,61.1,Yes,Minimal Support,1,4.77,2,5,1,3,2,mother,no,yes,None
Severe,12.6,49,Male,53.01,64.88,97.2,No,None,0,4.65,3,5,3,4,2,father,yes,yes,High school
Normal,12.5,98.4,Female,69.32,56.2,55.7,No,Minimal Support,1,5.27,5,3,1,4,9,mother,yes,no,NVQ qualified
Mild,10,99.6,Male,45.6,42.65,41.9,No,Minimal Support,-1,2.94,2,2,3,3,2,mother,yes,no,Diploma level
Moderate,12.1,69.2,Male,42.77,30.6,64.8,Yes,None,-1,3.44,1,5,3,0,0,mother,yes,no,Degree
Severe,18,96.3,Female,77.26,74.92,81.2,No,Minimal Support,1,3.94,2,2,2,3,5,father,yes,no,NVQ qualified
Mild,8.6,59.9,Female,71.27,70.13,64.4,No,None,0,2.12,2,4,2,3,9,mother,yes,no,Degree
Severe,10.7,72.2,Male,51.46,75.95,57.7,No,Minimal Support,0,3.91,5,3,0,4,9,mother,yes,no,Master
Moderate,4.6,63.3,Female,57.59,47.73,72.5,No,None,0,5.2,2,3,2,3,10,mother,yes,no,High school
